,Group,Task,Time_first,Time,Success,folder,file,class,method,line,solution,implement,right folder,right file,right class,right method,right lines,correct,sound solution,Control YOE,Control Contribs,Alt YOE,Alt Contrib,group,issue_number
0,2,1,19,43,0,18.0,18.0,19.0,21.0,21.0,24.0,43.0,1,1,1,0,0,0,0,4.0,0.0,,,Control,5679
1,1,1,50,50,1,44.0,45.0,45.0,46.0,47.0,48.0,50.0,1,1,1,1,1,1,1,,,7.0,0.0,Treatment,5485
2,2,1,0,58,0,56.0,56.0,58.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0,3.0,0.0,,,Treatment,4612
3,2,1,0,56,0,38.0,38.0,38.0,41.0,41.0,50.0,56.0,0,0,0,0,0,0,0,1.0,1.0,,,Control,4612
4,1,1,0,38,0,31.0,31.0,31.0,32.0,33.0,37.0,38.0,0,0,0,0,0,0,1,,,4.0,2.0,Treatment,5069
5,2,1,0,19,0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0,1.0,1.0,,,Control,5485
6,1,1,0,46,0,35.0,35.0,35.0,37.0,37.0,37.0,46.0,0,0,0,0,0,0,1,,,2.0,0.0,Treatment,5485
7,1,1,43,43,1,43.0,43.0,43.0,43.0,43.0,43.0,43.0,1,1,1,1,1,1,1,,,5.0,1.0,Treatment,5485
8,2,1,0,57,0,25.0,25.0,37.0,46.0,57.0,57.0,60.0,0,0,0,0,0,0,1,2.0,2.0,,,Control,5069
9,2,1,0,31,0,31.0,31.0,31.0,31.0,60.0,60.0,60.0,0,0,0,0,0,0,0,5.0,0.0,,,Control,4612
10,1,1,0,48,0,44.0,47.0,47.0,60.0,60.0,48.0,60.0,0,0,0,0,0,0,1,,,1.0,0.0,Treatment,5069
11,1,1,0,59,0,45.0,45.0,45.0,50.0,52.0,59.0,60.0,0,0,0,0,0,0,1,,,2.0,0.0,Treatment,5679
12,2,1,0,56,0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,0,0,0,0,0,0,1.0,1.0,,,Control,5485
13,2,1,0,60,0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,1,4.0,1.0,,,Control,5069
14,1,1,48,50,0,48.0,48.0,49.0,60.0,60.0,50.0,60.0,1,0,0,0,0,0,0,,,6.0,0.0,Treatment,5069
15,2,1,0,51,0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,0,2.0,1.0,,,Control,5194
16,2,1,0,28,0,16.0,15.0,19.0,20.0,20.0,28.0,60.0,0,0,0,0,0,0,0,5.0,0.0,,,Control,5679
17,1,1,32,32,1,18.0,18.0,18.0,18.0,18.0,23.0,32.0,1,1,1,1,1,1,1,,,1.0,1.0,Treatment,5485
18,1,1,0,60,0,31.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0,1,,,2.0,0.0,Treatment,4612
19,1,1,30,30,1,23.0,24.0,24.0,27.0,27.0,27.0,30.0,1,1,1,1,1,1,1,,,2.0,0.0,Treatment,5194
